code,lat,lon
120,51.185000000000002,2.701166670000000
230,51.308333330000004,2.850000000000000
330,51.433333330000004,2.808333330000000
421,51.480499999999999,2.450000000000000
435,51.580666669999999,2.790333330000000
700,51.376666669999999,3.220000000000000
710,51.440833329999997,3.138666670000000
780,51.471166670000002,3.058000000000000
130,51.270833330000002,2.905000000000000
215,51.276666669999997,2.613333330000000
ZG02,51.333333330000002,2.500000000000000
LW01,51.566666669999996,2.250000000000000
LW02,51.799999999999997,2.550000000000000
W08,51.458333330000002,2.350000000000000
W09,51.750000000000000,2.700000000000000
W10,51.683333330000004,2.416666670000000
W07bis,51.588034999999998,3.012523330000000
